experiment,scene,condition,target,nominal_distance_mm,yaw_deg,repeat_index,source_summary,num_frames,roi_width,roi_height,roi_pixels,zero_ratio,max_uint16_ratio,max_uint16_affected_frames,max_uint16_max_pixels_per_frame,temporal_median_std_mm,temporal_mean_std_mm,temporal_p95_std_mm,measured_median_mm,measured_mean_mm,measured_std_mm,measured_p05_mm,measured_p95_mm,measured_offset_from_nominal_mm,plane_successful_frames,plane_failed_frames,plane_success_ratio,plane_distance_median_mm,plane_distance_offset_from_nominal_mm,plane_distance_temporal_std_mm,tilt_median_deg,tilt_temporal_std_deg,tilt_error_from_nominal_deg,plane_rmse_median_mm,plane_rmse_p95_mm,plane_p95_abs_median_mm,plane_inlier_ratio_median
scene01_white_d050_r01,scene01,scene01_white_d050,white,500,,1,results/scene01_white_d050_r01/baseline/summary.yaml,892,250,170,42500,0.0,0.0,0,0,0.43806834298474506,0.415834743763744,0.607483948353117,512.0,512.0,0.0,512.0,512.0,12.0,892,0,1.0,514.8384978753122,14.838497875312214,0.03462156029385084,2.4332283093217812,0.018841420768776443,,1.2499499680184676,1.2734106416176028,2.429778998321967,0.9999529411764706
scene01_white_d050_r02,scene01,scene01_white_d050,white,500,,2,results/scene01_white_d050_r02/baseline/summary.yaml,448,250,170,42500,0.0,0.0,0,0,0.4428427351131889,0.4196069716356102,0.6139626650013852,512.0,511.77901785714283,0.41490846628552674,511.0,512.0,12.0,448,0,1.0,514.7583705345364,14.758370534536425,0.03135198729117127,2.460253998109421,0.02114746321436203,,1.2602711641514648,1.2881696279202206,2.4431619457244667,1.0
scene01_white_d050_r03,scene01,scene01_white_d050,white,500,,3,results/scene01_white_d050_r03/baseline/summary.yaml,862,250,170,42500,0.0,0.0,0,0,0.4391759582150958,0.4171387016607249,0.6132424424451057,512.0,511.6827146171694,0.46510788584025653,511.0,512.0,12.0,862,0,1.0,514.7591555409692,14.759155540969232,0.03218689312234399,2.469966230347916,0.020941321488580293,,1.25858554986916,1.2859734417721067,2.436997761144945,1.0
scene01_white_d100_r01,scene01,scene01_white_d100,white,1000,,1,results/scene01_white_d100_r01/baseline/summary.yaml,890,191,161,30751,0.0,0.0,0,0,1.4679524756047235,1.5425047927791256,2.4587449514306745,982.0,982.476404494382,0.4994429418007946,982.0,983.0,-18.0,890,0,1.0,985.3335628477375,-14.66643715226246,0.1093334056937364,3.0264735598542956,0.0605035643583991,,3.7091308961336633,3.8128408323112004,7.232793981981955,0.8182498130142108
scene01_white_d100_r02,scene01,scene01_white_d100,white,1000,,2,results/scene01_white_d100_r02/baseline/summary.yaml,861,191,161,30751,0.0,0.0,0,0,1.439708987195961,1.5155813608525035,2.4013095152894204,983.0,982.829268292683,0.3762743565985735,982.0,983.0,-17.0,861,0,1.0,985.4686821696608,-14.531317830339162,0.10876721207337878,3.0462700490277586,0.05541961276532871,,3.7003421660017253,3.8121976411694996,7.203519240011669,0.821111508568827
scene01_white_d100_r03,scene01,scene01_white_d100,white,1000,,3,results/scene01_white_d100_r03/baseline/summary.yaml,860,191,161,30751,0.0,0.0,0,0,1.4909837955948886,1.560655119773365,2.4320604862856694,983.0,982.5104651162791,0.4998904693443011,982.0,983.0,-17.0,860,0,1.0,985.4010060061092,-14.598993993890758,0.12189258885505612,3.078481155819941,0.055320154675566335,,3.6481090098993096,3.7674877748775804,7.088758824604774,0.8267698611427271
scene01_white_d150_r01,scene01,scene01_white_d150,white,1500,,1,results/scene01_white_d150_r01/baseline/summary.yaml,892,141,111,15651,0.0,0.0,0,0,2.7834532811934243,2.844365350179641,3.819865786947557,1486.0,1486.0201793721974,0.19987880661125954,1486.0,1486.0,-14.0,892,0,1.0,1490.271227728227,-9.728772271773096,0.2865044547802457,2.0371204623451105,0.10076409023919035,,5.0143020343569855,5.205224960315858,9.920942015214484,0.7048750878538113
scene01_white_d150_r02,scene01,scene01_white_d150,white,1500,,2,results/scene01_white_d150_r02/baseline/summary.yaml,860,141,111,15651,0.0,0.0,0,0,2.7756328062279567,2.831781314773321,3.8001691777772306,1486.0,1486.0953488372093,0.42615287592768697,1486.0,1486.0,-14.0,860,0,1.0,1490.4712370086704,-9.528762991329586,0.30546455509016285,2.0974596547891777,0.09074574501104778,,5.065711226079777,5.250010996942297,10.023758167743813,0.6998913807424446
scene01_white_d150_r03,scene01,scene01_white_d150,white,1500,,3,results/scene01_white_d150_r03/baseline/summary.yaml,861,141,111,15651,0.0,0.0,0,0,2.7640822167631147,2.8169000368554595,3.743411402163332,1486.0,1486.006968641115,0.11785041481036766,1486.0,1486.0,-14.0,861,0,1.0,1490.2446366268084,-9.755363373191585,0.27118482065659405,2.0533376913277293,0.08934587994596703,,5.091584513196548,5.30695876709209,10.090805104339795,0.6950354609929078
scene01_white_d200_r01,scene01,scene01_white_d200,white,2000,,1,results/scene01_white_d200_r01/baseline/summary.yaml,862,107,91,9737,0.0,0.0,0,0,4.747582811917709,4.880426434905297,6.913515371661482,1940.0,1939.9907192575406,0.22573867933095673,1940.0,1940.0,-60.0,862,0,1.0,1942.726565409514,-57.27343459048598,0.5754272388241478,1.9063635375401566,0.2015385484236352,,8.926331884024078,9.424098861913222,17.032949360381444,0.4634384307281504
scene01_white_d200_r02,scene01,scene01_white_d200,white,2000,,2,results/scene01_white_d200_r02/baseline/summary.yaml,891,107,91,9737,0.0,0.0,0,0,4.61627282847655,4.7561943347739755,6.80254195895305,1940.0,1939.969696969697,0.35165444819250924,1940.0,1940.0,-60.0,891,0,1.0,1942.7528063834145,-57.24719361658549,0.49791673580377505,1.9275033134317372,0.18234040922701558,,9.209355836246747,9.68658360488574,17.563089077670877,0.4516791619595358
scene01_white_d200_r03,scene01,scene01_white_d200,white,2000,,3,results/scene01_white_d200_r03/baseline/summary.yaml,892,107,91,9737,0.0,0.0,0,0,4.602794840774389,4.730044257754453,6.712921496591867,1940.0,1940.0044843049327,0.20635112762051191,1940.0,1940.0,-60.0,892,0,1.0,1942.79704582866,-57.202954171340025,0.559497897779558,1.887375601991144,0.19605477776447297,,9.068008169232613,9.60041441603153,17.23312058699311,0.45850878093868747
scene01_white_d300_r01,scene01,scene01_white_d300,white,3000,,1,results/scene01_white_d300_r01/baseline/summary.yaml,892,62,55,3410,0.0,0.0,0,0,11.427271983795725,11.586194523072628,14.990330134081212,2920.0,2918.3867713004483,2.6964442416993113,2914.0,2920.0,-80.0,892,0,1.0,2919.607140763351,-80.3928592366492,2.609977777226554,3.341006289448766,0.9199615618536987,,16.958590319907117,19.11383824400633,33.6729594145329,0.23533724340175954
scene01_white_d300_r02,scene01,scene01_white_d300,white,3000,,2,results/scene01_white_d300_r02/baseline/summary.yaml,891,62,55,3410,0.0,0.0,0,0,11.725390775458713,11.794819774105491,14.895803666193375,2920.0,2918.13468013468,2.8853588346611043,2914.0,2920.0,-80.0,891,0,1.0,2919.8710629692887,-80.12893703071131,2.2011150440273215,3.464195250391406,0.8797295958184598,,16.67029139515321,18.792224823730187,32.682708266547834,0.23607038123167157
scene01_white_d300_r03,scene01,scene01_white_d300,white,3000,,3,results/scene01_white_d300_r03/baseline/summary.yaml,891,62,55,3410,0.0,0.0,0,0,11.510497976538316,11.605676933930498,14.760916332532839,2914.0,2916.5218855218855,3.2514907627019776,2914.0,2920.0,-86.0,891,0,1.0,2918.450345922216,-81.549654077784,2.304679379735424,3.4938818036220143,0.8897825870817211,,17.143773948298723,19.28599901981859,33.3945696424774,0.22727272727272727
scene02_white_d100_r01,scene02,scene02_white_d100,white,1000,0,1,results/scene02_white_d100_r01/baseline/summary.yaml,894,174,134,23316,0.04953809407026428,0.0,0,0,1.610175184611986,2.0451382335955683,4.306297428278729,1000.0,999.8165548098434,0.6380154746378123,999.0,1001.0,0.0,894,0,1.0,1001.338419505351,1.3384195053509984,353.2411957489827,3.477073179993033,32.59919279297134,3.477073179993033,5.913500470018164,89.26147947716325,10.841706685751817,0.7438441183939968
