scene,condition,target,nominal_distance_mm,yaw_deg,repeat_count,total_frames,min_frames_per_repeat,max_frames_per_repeat,roi_width,roi_height,roi_pixels,zero_ratio_mean,zero_ratio_repeat_std,zero_ratio_valid_count,max_uint16_ratio_mean,max_uint16_ratio_repeat_std,max_uint16_ratio_valid_count,temporal_median_std_mm_mean,temporal_median_std_mm_repeat_std,temporal_median_std_mm_valid_count,temporal_mean_std_mm_mean,temporal_mean_std_mm_repeat_std,temporal_mean_std_mm_valid_count,temporal_p95_std_mm_mean,temporal_p95_std_mm_repeat_std,temporal_p95_std_mm_valid_count,measured_median_mm_mean,measured_median_mm_repeat_std,measured_median_mm_valid_count,measured_mean_mm_mean,measured_mean_mm_repeat_std,measured_mean_mm_valid_count,measured_std_mm_mean,measured_std_mm_repeat_std,measured_std_mm_valid_count,measured_p05_mm_mean,measured_p05_mm_repeat_std,measured_p05_mm_valid_count,measured_p95_mm_mean,measured_p95_mm_repeat_std,measured_p95_mm_valid_count,measured_offset_from_nominal_mm_mean,measured_offset_from_nominal_mm_repeat_std,measured_offset_from_nominal_mm_valid_count,plane_success_ratio_mean,plane_success_ratio_repeat_std,plane_success_ratio_valid_count,plane_distance_median_mm_mean,plane_distance_median_mm_repeat_std,plane_distance_median_mm_valid_count,plane_distance_offset_from_nominal_mm_mean,plane_distance_offset_from_nominal_mm_repeat_std,plane_distance_offset_from_nominal_mm_valid_count,plane_distance_temporal_std_mm_mean,plane_distance_temporal_std_mm_repeat_std,plane_distance_temporal_std_mm_valid_count,tilt_median_deg_mean,tilt_median_deg_repeat_std,tilt_median_deg_valid_count,tilt_temporal_std_deg_mean,tilt_temporal_std_deg_repeat_std,tilt_temporal_std_deg_valid_count,tilt_error_from_nominal_deg_mean,tilt_error_from_nominal_deg_repeat_std,tilt_error_from_nominal_deg_valid_count,plane_rmse_median_mm_mean,plane_rmse_median_mm_repeat_std,plane_rmse_median_mm_valid_count,plane_rmse_p95_mm_mean,plane_rmse_p95_mm_repeat_std,plane_rmse_p95_mm_valid_count,plane_p95_abs_median_mm_mean,plane_p95_abs_median_mm_repeat_std,plane_p95_abs_median_mm_valid_count,plane_inlier_ratio_median_mean,plane_inlier_ratio_median_repeat_std,plane_inlier_ratio_median_valid_count
scene01,scene01_white_d050,white,500,,3,2202,448,892,250,170,42500,0.0,0.0,3,0.0,0.0,3,0.44002901210434325,0.0024988959066969438,3,0.41752680568669304,0.0019158273227382915,3,0.6115630185998693,0.0035508859022923053,3,512.0,0.0,3,511.8205774914374,0.16267423256778252,3,0.29333878404192776,0.25527578635331927,3,511.3333333333333,0.5773502691896258,3,512.0,0.0,3,12.0,0.0,3,1.0,0.0,3,514.7853413169393,0.0460366031795942,3,14.78534131693929,0.046036603179594196,3,0.032720146902455366,0.001698763256155807,3,2.454482845926373,0.019036763340194125,3,0.020310068490572923,0.0012760557201120018,3,,,0,1.2562688940130309,0.005536871243830087,3,1.2825179037699768,0.007963195108330504,3,2.436646235063793,0.00669839519839007,3,0.9999843137254901,2.7169424432446214e-05,3
scene01,scene01_white_d100,white,1000,,3,2611,860,890,191,161,30751,0.0,0.0,3,0.0,0.0,3,1.466215086131858,0.02568151836870249,3,1.5395804244683313,0.02267873196029413,3,2.430704984335255,0.028741700894992343,3,982.6666666666666,0.5773502691896257,3,982.6053793011147,0.194640031597055,3,0.4585359225812231,0.07124095731153468,3,982.0,0.0,3,983.0,0.0,3,-17.333333333333332,0.5773502691896258,3,1.0,0.0,3,985.4010836745025,0.0675596944452642,3,-14.598916325497461,0.0675596944452642,3,0.1133310688740571,0.0074198963667100855,3,3.050408254900665,0.026249591814281086,3,0.05708111059976471,0.0029643490474972342,3,,,0,3.6858606906782327,0.032987914386306584,3,3.79750874945276,0.026000915552031673,3,7.1750240155328,0.07612827992108595,3,0.822043727575255,0.0043358481563608225,3
scene01,scene01_white_d150,white,1500,,3,2613,860,892,141,111,15651,0.0,0.0,3,0.0,0.0,3,2.7743894347281652,0.009745204656941347,3,2.8310155672694735,0.013748659422962023,3,3.787815455629373,0.03969608389203435,3,1486.0,0.0,3,1486.0408322835074,0.04767254791379656,3,0.24796069911643803,0.15967624486099583,3,1486.0,0.0,3,1486.0,0.0,3,-14.0,0.0,3,1.0,0.0,3,1490.3290337879018,0.1238672219207479,3,-9.670966212098088,0.1238672219207479,3,0.2877179435090009,0.01717205475125538,3,2.062639269487339,0.03122649601532399,3,0.09361857173206839,0.006227658597083277,3,,,0,5.0571992578777705,0.03933809331806546,3,5.2540649081167485,0.050987915305037504,3,10.011835095766031,0.08555692254773348,3,0.6999339765297212,0.0049199517265186106,3
scene01,scene01_white_d200,white,2000,,3,2645,862,892,107,91,9737,0.0,0.0,3,0.0,0.0,3,4.6555501603895495,0.07998700362310501,3,4.788888342477908,0.08034533842087888,3,6.8096596090688,0.10048617510005442,3,1940.0,0.0,3,1939.9883001773899,0.017519378835485513,3,0.26124808504799263,0.07889202851426089,3,1940.0,0.0,3,1940.0,0.0,3,-60.0,0.0,3,1.0,0.0,3,1942.758805873863,0.0356211704605131,3,-57.24119412613717,0.0356211704605131,3,0.544280624135827,0.040934625715632826,3,1.907080817654346,0.020073469417032416,3,0.19331124513837458,0.009888749446014158,3,,,0,9.06789862983448,0.14151200790779092,3,9.570365627610164,0.13379744892011655,3,17.27638634168181,0.2677050132300798,3,0.45787545787545786,0.005905160799668591,3
scene01,scene01_white_d300,white,3000,,3,2674,891,892,62,55,3410,0.0,0.0,3,0.0,0.0,3,11.55438691193092,0.15382906901191346,3,11.662230410369538,0.11523821247805428,3,14.88235004426914,0.11529710769303489,3,2918.0,3.4641016151377544,3,2917.681112319004,1.0118016427807912,3,2.944431279687464,0.28219908830528684,3,2914.0,0.0,3,2920.0,0.0,3,-82.0,3.4641016151377544,3,1.0,0.0,3,2919.3095165516183,0.7556747716562254,3,-80.6904834483815,0.7556747716562255,3,2.371924066996433,0.21256427174718212,3,3.433027781154062,0.08106348785013721,3,0.8964912482512931,0.020938179810605508,3,,,0,16.924218554453017,0.23860531370575544,3,19.064020695851703,0.2506283708178128,3,33.25007910785271,0.510693127003419,3,0.23289345063538613,0.0048814722276242,3
scene02,scene02_white_d100,white,1000,0,3,2668,883,894,174,134,23316,0.04885061461678438,0.0017417379536659597,3,0.0,0.0,3,1.594258638664711,0.01403137141821654,3,2.011226961808191,0.030169924350754378,3,4.220533126174057,0.10731641042818268,3,1000.0,0.0,3,999.822287277078,0.022757102507440907,3,0.6440738193199037,0.007460947733907315,3,999.0,0.0,3,1001.0,0.0,3,0.0,0.0,3,1.0,0.0,3,1001.6696777234391,0.28710354761868057,3,1.66967772343916,0.28710354761868057,3,293.0484625878293,58.714510220876875,3,3.3952023095897528,0.07539439581184139,3,27.323303218090576,5.250109573224251,3,3.3952023095897528,0.07539439581184139,3,6.081683020930318,0.2421390277070993,3,89.17182289627999,0.11318048112132706,3,10.645070589958342,0.17029276347115377,3,0.7418589409057521,0.00394435237890845,3
scene02,scene02_yaw15_white_d100,white,1000,15,3,2667,882,893,162,127,20574,0.007974028129121694,0.0004983579660550518,3,0.0,0.0,3,1.6011461616082798,0.018144568760803823,3,1.7549933747853415,0.03238580230434085,3,2.807819295592251,0.07516002444006731,3,1049.0,0.0,3,1048.8502947507613,0.025168820123176366,3,0.40701260860548066,0.020836080667018624,3,1048.0,0.0,3,1049.0,0.0,3,49.0,0.0,3,1.0,0.0,3,988.0545463857833,0.4371090907206769,3,-11.945453614216754,0.43710909072067683,3,0.4776450012489417,0.0472079655087785,3,17.650891037842243,0.06031631848662686,3,0.07019479834993715,0.006712826360128088,3,2.6508910378422414,0.06031631848662685,3,5.202958620484311,0.2900046358522922,3,6.036350207372261,0.37740508167941333,3,8.310572887797814,0.052935992344118075,3,0.7914526833035825,0.008549860741839336,3
scene02,scene02_yaw30_white_d100,white,1000,30,3,2668,883,893,164,121,19844,0.005020680830150066,0.0009522942754814763,3,0.0,0.0,3,2.4578603040225855,0.371999737728951,3,2.736284859532437,0.4321719890008201,3,4.850956712890261,0.9308534255443013,3,1055.3333333333333,0.5773502691896258,3,1055.4289560679147,0.3965097191969125,3,1.0807269745362522,0.5097293873720936,3,1054.0,0.0,3,1057.3333333333333,1.5275252316519465,3,55.333333333333336,0.5773502691896258,3,1.0,0.0,3,978.2491524976782,0.31233365444949823,3,-21.750847502321864,0.31233365444949823,3,1.1251375298215436,0.3258237453992347,3,21.13964425069594,0.034072074033952106,3,0.11958696205441144,0.031858074588219785,3,-8.86035574930406,0.034072074033952106,3,5.237801120718691,0.4334632350816522,3,5.652598859624059,0.6214248835958438,3,10.200528304565305,0.9682674671242268,3,0.7129736925853377,0.018852497169745623,3
scene02,scene02_yaw45_white_d100,white,1000,45,3,2669,883,893,132,112,14784,0.01187177674574459,0.0003721651066213152,3,0.0,0.0,3,1.9428540560858718,0.04570867625631269,3,2.0420768382086893,0.0436490963631385,3,3.122182751135369,0.04602486158361651,3,1087.0,0.0,3,1086.6464023060953,0.0765321797805199,3,0.6768915766448177,0.03334414556303074,3,1086.0,0.0,3,1088.0,0.0,3,87.0,0.0,3,1.0,0.0,3,935.8410564583669,0.050847587474364415,3,-64.15894354163315,0.050847587474364415,3,1.3713840931958885,0.8088120473684867,3,28.384750344121723,0.0020634788494046903,3,0.11062042913131075,0.052405464841178244,3,-16.615249655878277,0.0020634788494046903,3,4.150279482477274,0.03809481632816476,3,4.3426439960035985,0.05642720176291883,3,7.802558276862435,0.08250329041589968,3,0.8261361335754026,0.005830007889963577,3
scene02,scene02_yaw60_white_d100,white,1000,60,3,2653,879,893,83,98,8134,0.027839692348734537,0.0011587901274503574,3,0.0,0.0,3,2.0385687729195223,0.008443108022067986,3,2.168233712836236,0.0067333312587087,3,3.481472360334808,0.013946455710270993,3,1084.0,0.0,3,1084.3114089503842,0.18943215642818362,3,0.957027065344902,0.05726033892901504,3,1083.0,0.0,3,1086.0,0.0,3,84.0,0.0,3,1.0,0.0,3,606.0575267228281,1.254530333428612,3,-393.9424732771719,1.254530333428612,3,2.477439845704569,0.6415638468658558,3,56.55673210734725,0.10150885756390866,3,0.17392487865555806,0.04577190854742176,3,-3.4432678926527487,0.10150885756390866,3,4.627706392477134,3.1077404031599687,3,10.883307373632897,0.4935321426955899,3,5.411552498016275,0.27598121304606554,3,0.9326514470626188,0.011701441578872825,3
