distance_min_px,distance_max_px,distance_center_px,pixel_count,valid_count,foreground_count,background_count,mixed_count,outlier_count,invalid_count,foreground_ratio,background_ratio,mixed_ratio,outlier_ratio,invalid_ratio
-20.0,-19.0,-20.0,0,0,0,0,0,0,0,,,,,
-19.0,-17.0,-18.0,0,0,0,0,0,0,0,,,,,
-17.0,-15.0,-16.0,0,0,0,0,0,0,0,,,,,
-15.0,-13.0,-14.0,0,0,0,0,0,0,0,,,,,
-13.0,-11.0,-12.0,42432,42432,38573,0,3859,0,0,0.9090544871794872,0.0,0.09094551282051282,0.0,0.0
-11.0,-9.0,-10.0,84864,84864,77092,0,7772,0,0,0.9084181749622926,0.0,0.09158182503770738,0.0,0.0
-9.0,-7.0,-8.0,84864,84864,75536,0,9328,0,0,0.8900829562594268,0.0,0.10991704374057315,0.0,0.0
-7.0,-5.0,-6.0,84864,84864,71591,0,13273,0,0,0.8435968137254902,0.0,0.1564031862745098,0.0,0.0
-5.0,-3.0,-4.0,84864,84864,64831,1,20004,28,0,0.7639399509803921,1.1783559577677225e-05,0.2357183257918552,0.0003299396681749623,0.0
-3.0,-1.0,-2.0,84864,84864,43755,480,40484,145,0,0.5155896493212669,0.005656108597285068,0.4770456259426848,0.0017086161387631976,0.0
-1.0,1.0,0.0,84864,84864,1580,24425,58830,29,0,0.018618024132730015,0.2878134426847662,0.6932268099547512,0.0003417232277526395,0.0
1.0,3.0,2.0,84864,84864,0,58164,26669,31,0,0.0,0.6853789592760181,0.31425575037707393,0.00036529034690799397,0.0
3.0,5.0,4.0,84864,84864,0,79481,5314,69,0,0.0,0.9365690987933635,0.06261783559577677,0.0008130656108597285,0.0
5.0,7.0,6.0,84864,84864,0,84250,578,36,0,0.0,0.9927648944193062,0.006810897435897436,0.0004242081447963801,0.0
7.0,9.0,8.0,84864,84864,0,84810,50,4,0,0.0,0.9993636877828054,0.0005891779788838612,4.71342383107089e-05,0.0
9.0,11.0,10.0,84864,84864,0,84286,549,29,0,0.0,0.9931891025641025,0.006469174208144796,0.0003417232277526395,0.0
11.0,13.0,12.0,84864,84864,0,84314,479,71,0,0.0,0.9935190422322775,0.0056443250377073905,0.0008366327300150829,0.0
13.0,15.0,14.0,0,0,0,0,0,0,0,,,,,
15.0,17.0,16.0,0,0,0,0,0,0,0,,,,,
17.0,19.0,18.0,0,0,0,0,0,0,0,,,,,
19.0,20.0,20.0,0,0,0,0,0,0,0,,,,,
