frame_index,timestamp_ns,foreground_reference_mm,background_reference_mm,measured_gap_mm,foreground_bleeding_ratio,foreground_bleeding_max_distance_px,background_bleeding_ratio,background_bleeding_max_distance_px,mixed_ratio,peak_mixed_ratio,peak_mixed_distance_px,outlier_ratio,invalid_ratio,invalid_band_width_px,transition_width_px,nominal_edge_offset_px,analysis_status,transition_status
0,1785284689280818639,1948.0,2272.0,324.0,0.0,,0.028645833333333332,,0.1025,0.53125,0.0,0.0,0.0,0.0,4.135109717868339,-1.5344827586206895,ok,ok
1,1785284689313311698,1945.0,2276.0,331.0,0.0,,0.015625,,0.21291666666666667,0.7135416666666666,0.0,0.0,0.0,0.0,9.95609756097561,-2.5098039215686274,ok,ok
2,1785284689353361462,1945.0,2276.0,331.0,0.0,,0.011284722222222222,,0.20541666666666666,0.7395833333333334,0.0,0.0,0.0,0.0,7.765725047080982,-1.4915254237288136,ok,ok
3,1785284689379069434,1948.0,2272.0,324.0,0.0,,0.028645833333333332,,0.13666666666666666,0.5416666666666666,0.0,0.0,0.0,0.0,6.352727272727273,-1.878787878787879,ok,ok
4,1785284689412044731,1945.0,2276.0,331.0,0.0,,0.016493055555555556,,0.18833333333333332,0.6770833333333334,0.0,0.0,0.0,0.0,6.531322094055014,-1.7142857142857144,ok,ok
5,1785284689447645523,1945.0,2276.0,331.0,0.0,,0.014756944444444444,,0.24041666666666667,0.7291666666666666,0.0,0.0,0.0,0.0,,,ok,missing_crossing
6,1785284689476503222,1945.0,2276.0,331.0,0.0,,0.022569444444444444,,0.18583333333333332,0.625,0.0,0.0,0.0,0.0,,,ok,missing_crossing
7,1785284689501747439,1948.0,2276.0,328.0,0.0,,0.006944444444444444,,0.25125,0.796875,0.0,0.0,0.0,0.0,10.214117647058826,-3.130434782608696,ok,ok
8,1785284689543601524,1945.0,2279.0,334.0,0.0,,0.024305555555555556,,0.14125,0.5572916666666666,0.0,0.0,0.0,0.0,6.789166666666667,-1.7708333333333335,ok,ok
9,1785284689576691313,1945.0,2276.0,331.0,0.0,,0.019965277777777776,,0.14291666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,6.123636363636364,-1.6727272727272728,ok,ok
10,1785284689600713181,1951.0,2272.0,321.0,0.0,,0.034722222222222224,,0.11125,0.5,0.0,0.0,0.0,0.0,5.191341991341993,-1.487603305785124,ok,ok
